Phase	Mesh	Count
EARLY_PHASE_1	Breast Neoplasms	79
N_A	Breast Neoplasms	216
PHASE_1	Breast Neoplasms	641
PHASE_1_PHASE_2	Breast Neoplasms	334
PHASE_2	Breast Neoplasms	1885
PHASE_2_PHASE_3	Breast Neoplasms	54
PHASE_3	Breast Neoplasms	707
PHASE_4	Breast Neoplasms	122
EARLY_PHASE_1	Lymphoma	38
N_A	Lymphoma	118
PHASE_1	Lymphoma	970
PHASE_1_PHASE_2	Lymphoma	480
PHASE_2	Lymphoma	1632
PHASE_2_PHASE_3	Lymphoma	27
PHASE_3	Lymphoma	364
PHASE_4	Lymphoma	65
EARLY_PHASE_1	Leukemia	25
N_A	Leukemia	119
PHASE_1	Leukemia	975
PHASE_1_PHASE_2	Leukemia	536
PHASE_2	Leukemia	1456
PHASE_2_PHASE_3	Leukemia	61
PHASE_3	Leukemia	402
PHASE_4	Leukemia	85
EARLY_PHASE_1	Carcinoma	61
N_A	Carcinoma	120
PHASE_1	Carcinoma	631
PHASE_1_PHASE_2	Carcinoma	383
PHASE_2	Carcinoma	1758
PHASE_2_PHASE_3	Carcinoma	73
PHASE_3	Carcinoma	420
PHASE_4	Carcinoma	68
EARLY_PHASE_1	Neoplasms	42
N_A	Neoplasms	101
PHASE_1	Neoplasms	2008
PHASE_1_PHASE_2	Neoplasms	380
PHASE_2	Neoplasms	693
PHASE_2_PHASE_3	Neoplasms	40
PHASE_3	Neoplasms	166
PHASE_4	Neoplasms	46
EARLY_PHASE_1	Diabetes Mellitus	19
N_A	Diabetes Mellitus	312
PHASE_1	Diabetes Mellitus	482
PHASE_1_PHASE_2	Diabetes Mellitus	82
PHASE_2	Diabetes Mellitus	585
PHASE_2_PHASE_3	Diabetes Mellitus	67
PHASE_3	Diabetes Mellitus	984
PHASE_4	Diabetes Mellitus	683
EARLY_PHASE_1	Syndrome	33
N_A	Syndrome	394
PHASE_1	Syndrome	381
PHASE_1_PHASE_2	Syndrome	222
PHASE_2	Syndrome	1056
PHASE_2_PHASE_3	Syndrome	104
PHASE_3	Syndrome	547
PHASE_4	Syndrome	426
EARLY_PHASE_1	Lung Neoplasms	28
N_A	Lung Neoplasms	71
PHASE_1	Lung Neoplasms	555
PHASE_1_PHASE_2	Lung Neoplasms	315
PHASE_2	Lung Neoplasms	1525
PHASE_2_PHASE_3	Lung Neoplasms	52
PHASE_3	Lung Neoplasms	473
PHASE_4	Lung Neoplasms	60
EARLY_PHASE_1	Diabetes Mellitus, Type 2	19
N_A	Diabetes Mellitus, Type 2	286
PHASE_1	Diabetes Mellitus, Type 2	544
PHASE_1_PHASE_2	Diabetes Mellitus, Type 2	39
PHASE_2	Diabetes Mellitus, Type 2	474
PHASE_2_PHASE_3	Diabetes Mellitus, Type 2	65
PHASE_3	Diabetes Mellitus, Type 2	907
PHASE_4	Diabetes Mellitus, Type 2	681
EARLY_PHASE_1	Carcinoma, Non-Small-Cell Lung	22
N_A	Carcinoma, Non-Small-Cell Lung	61
PHASE_1	Carcinoma, Non-Small-Cell Lung	534
PHASE_1_PHASE_2	Carcinoma, Non-Small-Cell Lung	278
PHASE_2	Carcinoma, Non-Small-Cell Lung	1337
PHASE_2_PHASE_3	Carcinoma, Non-Small-Cell Lung	37
PHASE_3	Carcinoma, Non-Small-Cell Lung	452
PHASE_4	Carcinoma, Non-Small-Cell Lung	63
EARLY_PHASE_1	Hypertension	24
N_A	Hypertension	228
PHASE_1	Hypertension	215
PHASE_1_PHASE_2	Hypertension	58
PHASE_2	Hypertension	409
PHASE_2_PHASE_3	Hypertension	56
PHASE_3	Hypertension	679
PHASE_4	Hypertension	653
EARLY_PHASE_1	Infection	10
N_A	Infection	308
PHASE_1	Infection	282
PHASE_1_PHASE_2	Infection	58
PHASE_2	Infection	493
PHASE_2_PHASE_3	Infection	61
PHASE_3	Infection	558
PHASE_4	Infection	424
EARLY_PHASE_1	Prostatic Neoplasms	35
N_A	Prostatic Neoplasms	114
PHASE_1	Prostatic Neoplasms	377
PHASE_1_PHASE_2	Prostatic Neoplasms	205
PHASE_2	Prostatic Neoplasms	999
PHASE_2_PHASE_3	Prostatic Neoplasms	35
PHASE_3	Prostatic Neoplasms	296
PHASE_4	Prostatic Neoplasms	66
EARLY_PHASE_1	HIV Infections	5
N_A	HIV Infections	246
PHASE_1	HIV Infections	608
PHASE_1_PHASE_2	HIV Infections	94
PHASE_2	HIV Infections	442
PHASE_2_PHASE_3	HIV Infections	40
PHASE_3	HIV Infections	364
PHASE_4	HIV Infections	265
EARLY_PHASE_1	Hepatitis	7
N_A	Hepatitis	116
PHASE_1	Hepatitis	226
PHASE_1_PHASE_2	Hepatitis	74
PHASE_2	Hepatitis	493
PHASE_2_PHASE_3	Hepatitis	50
PHASE_3	Hepatitis	495
PHASE_4	Hepatitis	511
EARLY_PHASE_1	Multiple Myeloma	18
N_A	Multiple Myeloma	62
PHASE_1	Multiple Myeloma	429
