condition_mesh_terms	Days	MeshSystem
Heart Diseases	1584	Cardiovascular
Cardiovascular Diseases	1584	Cardiovascular
Heart Diseases	2801	Cardiovascular
Coronary Disease	2801	Cardiovascular
Myocardial Ischemia	2801	Cardiovascular
Cardiovascular Diseases	2801	Cardiovascular
Leukemia	4993	Neoplasms
Leukemia	3927	Neoplasms
Leukemia	1978	Neoplasms
Leukemia	4656	Neoplasms
Leukemia	2709	Neoplasms
Leukemia	4868	Neoplasms
Head and Neck Neoplasms	1826	Neoplasms
Glioma	4018	Neoplasms
Melanoma	2131	Neoplasms
Melanoma	1918	Neoplasms
Glioblastoma	2160	Neoplasms
Astrocytoma	5023	Neoplasms
Melanoma	2009	Neoplasms
Glioma	2616	Neoplasms
Leukemia	2587	Neoplasms
Carcinoma	884	Neoplasms
Myelodysplastic Syndromes	884	Hemic and Lymphatic
Graft vs Host Disease	884	Immune System
Leukemia	2831	Neoplasms
Glioblastoma	2314	Neoplasms
Glioblastoma	1644	Neoplasms
Leukemia	1582	Neoplasms
Leukemia	1766	Neoplasms
Myeloproliferative Disorders	1766	Hemic and Lymphatic
Adenocarcinoma	2160	Neoplasms
Adenocarcinoma	1674	Neoplasms
Leukemia	1766	Neoplasms
Myelodysplastic Syndromes	1766	Hemic and Lymphatic
Myeloproliferative Disorders	1766	Hemic and Lymphatic
Myelodysplastic-Myeloproliferative Diseases	1766	Hemic and Lymphatic
Leukemia	1797	Neoplasms
Sarcoma	639	Neoplasms
Leukemia	2680	Neoplasms
Leukemia	6970	Neoplasms
Myelodysplastic Syndromes	2830	Hemic and Lymphatic
Mesothelioma	3106	Neoplasms
Leukemia	1187	Neoplasms
Myelodysplastic Syndromes	1187	Hemic and Lymphatic
Leukemia	1522	Neoplasms
Myeloproliferative Disorders	1522	Hemic and Lymphatic
Myelodysplastic-Myeloproliferative Diseases	1522	Hemic and Lymphatic
Melanoma	1430	Neoplasms
Psoriasis	760	Skin and Connective Tissue
Arthritis	1826	Musculoskeletal
Glioblastoma	2228	Neoplasms
Cholangiocarcinoma	3075	Neoplasms
Leukemia	730	Neoplasms
Neuroblastoma	730	Neoplasms
Myelodysplastic Syndromes	730	Hemic and Lymphatic
Myeloproliferative Disorders	730	Hemic and Lymphatic
Graft vs Host Disease	730	Immune System
Neoplasms	730	Neoplasms
Head and Neck Neoplasms	3379	Neoplasms
